Age (Years) / Sex,Measure Names,Measure Values,Category
Males,2021,77.2,M
75 & Over,2021,17.2,M
70 to 74,2021,41.3,M
70 & Over,2021,29.7,M
65 to 69,2021,61.1,M
60 to 64,2021,79.2,M
55 to 59,2021,89.5,M
50 to 54,2021,94.2,M
45 to 49,2021,96.3,M
40 to 44,2021,97.1,M
35 to 39,2021,97.4,M
30 to 34,2021,97,M
25 to 29,2021,90.2,M
20 to 24,2021,59,M
15 to 19,2021,17.6,M
Males,2020,75.4,M
75 & Over,2020,14.9,M
70 to 74,2020,40.8,M
70 & Over,2020,27.5,M
65 to 69,2020,59.8,M
60 to 64,2020,77.8,M
55 to 59,2020,87.1,M
50 to 54,2020,93.2,M
45 to 49,2020,96.1,M
40 to 44,2020,97.4,M
35 to 39,2020,97.2,M
30 to 34,2020,96.8,M
25 to 29,2020,89.7,M
20 to 24,2020,54.9,M
15 to 19,2020,16.8,M
Males,2019,75.4,M
75 & Over,2019,14.8,M
70 to 74,2019,38.6,M
70 & Over,2019,25.4,M
65 to 69,2019,57.6,M
60 to 64,2019,76.7,M
55 to 59,2019,87.3,M
50 to 54,2019,93.9,M
45 to 49,2019,96,M
40 to 44,2019,97.3,M
35 to 39,2019,97.8,M
30 to 34,2019,96.8,M
25 to 29,2019,90,M
20 to 24,2019,59.3,M
15 to 19,2019,17.5,M
Males,2018,75.6,M
75 & Over,2018,14.4,M
70 to 74,2018,37.3,M
70 & Over,2018,24.6,M
65 to 69,2018,57.3,M
60 to 64,2018,75.7,M
55 to 59,2018,88,M
50 to 54,2018,92.8,M
45 to 49,2018,95.4,M
40 to 44,2018,97.2,M
35 to 39,2018,97.2,M
30 to 34,2018,97.8,M
25 to 29,2018,90.7,M
20 to 24,2018,60.3,M
15 to 19,2018,18.4,M
Males,2017,76,M
75 & Over,2017,14.9,M
70 to 74,2017,39.3,M
70 & Over,2017,24.8,M
65 to 69,2017,54.8,M
60 to 64,2017,77.8,M
55 to 59,2017,88,M
50 to 54,2017,94.4,M
45 to 49,2017,96.6,M
40 to 44,2017,97,M
35 to 39,2017,97.6,M
30 to 34,2017,97.4,M
25 to 29,2017,90.7,M
20 to 24,2017,62.7,M
15 to 19,2017,18,M
Males,2016,76.2,M
75 & Over,2016,13.4,M
70 to 74,2016,35.4,M
70 & Over,2016,22.1,M
65 to 69,2016,55.7,M
60 to 64,2016,76.9,M
55 to 59,2016,88.7,M
50 to 54,2016,92.9,M
45 to 49,2016,96.3,M
40 to 44,2016,97.2,M
35 to 39,2016,97.8,M
30 to 34,2016,97,M
25 to 29,2016,90,M
20 to 24,2016,62.6,M
15 to 19,2016,18,M
Males,2015,76.7,M
75 & Over,2015,13.8,M
70 to 74,2015,34.5,M
70 & Over,2015,22.3,M
65 to 69,2015,54.5,M
60 to 64,2015,77.2,M
55 to 59,2015,88.2,M
50 to 54,2015,94.2,M
45 to 49,2015,96.9,M
40 to 44,2015,97.1,M
35 to 39,2015,97.5,M
30 to 34,2015,97.4,M
25 to 29,2015,90.9,M
20 to 24,2015,64.4,M
15 to 19,2015,18.3,M
Males,2014,75.9,M
75 & Over,2014,13.6,M
70 to 74,2014,37.3,M
70 & Over,2014,23.7,M
65 to 69,2014,54.1,M
60 to 64,2014,77,M
55 to 59,2014,87.5,M
50 to 54,2014,93.8,M
45 to 49,2014,96.4,M
40 to 44,2014,96.8,M
35 to 39,2014,97.2,M
30 to 34,2014,97.5,M
25 to 29,2014,89.4,M
20 to 24,2014,63.6,M
15 to 19,2014,14.9,M
Males,2013,75.8,M
75 & Over,2013,12.5,M
70 to 74,2013,35.8,M
70 & Over,2013,22.9,M
65 to 69,2013,53.4,M
60 to 64,2013,75,M
55 to 59,2013,87.6,M
50 to 54,2013,94,M
45 to 49,2013,96.1,M
40 to 44,2013,97.1,M
35 to 39,2013,97.5,M
30 to 34,2013,97.2,M
25 to 29,2013,89,M
20 to 24,2013,63.2,M
15 to 19,2013,13.2,M
Males,2012,76,M
75 & Over,2012,11.5,M
70 to 74,2012,32.1,M
70 & Over,2012,20.7,M
65 to 69,2012,52.6,M
60 to 64,2012,74.6,M
55 to 59,2012,88.5,M
50 to 54,2012,93.8,M
45 to 49,2012,95.6,M
40 to 44,2012,97.1,M
35 to 39,2012,98.2,M
30 to 34,2012,97.2,M
25 to 29,2012,89.9,M
20 to 24,2012,64.5,M
15 to 19,2012,13.8,M
Males,2011,75.6,M
75 & Over,2011,11.1,M
70 to 74,2011,31.1,M
70 & Over,2011,20.5,M
65 to 69,2011,49.1,M
60 to 64,2011,71.1,M
55 to 59,2011,85.7,M
50 to 54,2011,93.5,M
45 to 49,2011,96,M
40 to 44,2011,97.1,M
35 to 39,2011,97.7,M
30 to 34,2011,97.4,M
25 to 29,2011,91.8,M
20 to 24,2011,63.2,M
15 to 19,2011,14.6,M
Males,2010,76.5,M
75 & Over,2010,9.8,M
70 to 74,2010,27.3,M
70 & Over,2010,17.9,M
65 to 69,2010,43.7,M
60 to 64,2010,67.5,M
55 to 59,2010,85,M
50 to 54,2010,92.6,M
45 to 49,2010,96.1,M
40 to 44,2010,96.8,M
35 to 39,2010,98,M
30 to 34,2010,97.7,M
25 to 29,2010,93.3,M
20 to 24,2010,66.2,M
15 to 19,2010,17.5,M
