Date,Open,High,Low,Close,Adj Close,Volume
2/1/2020,25.959999,26.120001,25.92,26.110001,24.4058,2063600
3/1/2020,26.17,26.32,25.83,26,24.302979,4336600
6/1/2020,25.799999,25.93,25.799999,25.860001,24.172117,5928500
7/1/2020,26.129999,26.190001,25.959999,26.049999,24.349716,8593000
8/1/2020,25.799999,25.84,25.57,25.73,24.0506,14782300
9/1/2020,25.799999,25.940001,25.77,25.860001,24.172117,10474704
10/1/2020,26,26.120001,25.92,26,24.302979,7869500
13/1/2020,26.16,26.24,26.1,26.1,24.396454,2596200
14/1/2020,26.26,26.379999,26.23,26.25,24.536663,3857600
15/1/2020,26.33,26.389999,26.08,26.08,24.377758,3190700
16/1/2020,26.049999,26.34,26.049999,26.33,24.611441,4733900
17/1/2020,26.450001,26.450001,26.32,26.35,24.630135,2347500
20/1/2020,26.35,26.4,26.26,26.379999,24.658175,2599400
21/1/2020,26.280001,26.34,26.129999,26.299999,24.583399,2571200
22/1/2020,26.200001,26.469999,26.200001,26.4,24.67687,3178600
23/1/2020,26.379999,26.43,26.15,26.25,24.536663,3203300
24/1/2020,26.370001,26.379999,26.16,26.200001,24.489927,1474500
28/1/2020,25.719999,25.870001,25.459999,25.85,24.162769,6997400
29/1/2020,25.799999,25.969999,25.76,25.83,24.144073,2222100
30/1/2020,25.879999,25.889999,25.5,25.690001,24.013212,3764900
31/1/2020,25.620001,25.65,25.200001,25.370001,23.714102,8167400
3/2/2020,25.110001,25.200001,24.9,24.9,23.274775,7152943
4/2/2020,25,25.24,24.969999,25.15,23.508457,5262900
5/2/2020,25.15,25.5,25.110001,25.450001,23.788877,4331500
6/2/2020,25.629999,25.719999,25.52,25.700001,24.02256,4269000
7/2/2020,25.57,25.65,25.209999,25.309999,23.658016,5097800
10/2/2020,24.98,25.209999,24.870001,25.110001,23.471071,4696400
11/2/2020,25.17,25.360001,25.059999,25.09,23.452374,4545400
12/2/2020,25.09,25.43,25.01,25.42,23.760838,7250400
13/2/2020,25.58,25.68,25.42,25.42,23.760838,4775900
14/2/2020,25.4,25.620001,25.33,25.549999,23.882351,4293700
17/2/2020,25.5,25.559999,25.450001,25.48,23.816919,2405800
18/2/2020,25.43,25.440001,25.209999,25.27,23.620626,3334000
19/2/2020,25.25,25.450001,25.209999,25.309999,23.658016,3645000
20/2/2020,25.309999,25.360001,25.049999,25.1,23.461721,6167400
21/2/2020,25.01,25.25,24.959999,25.08,23.443026,3809500
24/2/2020,24.9,24.969999,24.85,24.85,23.228041,5892900
25/2/2020,24.879999,25.030001,24.85,24.93,23.302818,3363400
26/2/2020,24.75,24.84,24.65,24.66,23.050442,7032600
27/2/2020,24.540001,24.83,24.5,24.82,23.199999,5864700
28/2/2020,24.4,24.49,24.110001,24.110001,22.536341,11038900
2/3/2020,24,24.25,24,24.049999,22.480255,8352200
3/3/2020,24.25,24.450001,24.139999,24.16,22.583076,7025400
4/3/2020,24.08,24.09,23.790001,23.91,22.349392,10258700
5/3/2020,23.9,23.940001,23.57,23.6,22.059628,9867300
6/3/2020,23.33,23.34,22.959999,23,21.498789,11686900
9/3/2020,22.299999,22.299999,21.049999,21.15,19.769537,20087700
10/3/2020,20.809999,21.719999,20.5,21.49,20.087347,19486300
11/3/2020,21.49,21.77,21,21.01,19.638676,12111100
12/3/2020,20.66,20.66,20.110001,20.200001,18.881546,14644400
13/3/2020,19,19.99,18.870001,19.35,18.087025,30162600
16/3/2020,18.83,19.18,18.559999,18.58,17.367283,18406300
17/3/2020,18.18,18.450001,18,18,16.82514,23185800
18/3/2020,18,18,18,18,16.82514,0
19/3/2020,18,18.110001,17.360001,17.4,16.264301,13586600
20/3/2020,17.4,18.25,17.360001,18.16,16.974695,13069400
23/3/2020,17.120001,17.17,16.65,16.879999,15.778242,11780800
24/3/2020,17.17,18.32,17.17,18.209999,17.021431,14731100
25/3/2020,18.530001,19.440001,18.530001,19.42,18.152456,15142800
26/3/2020,19.42,19.450001,18.719999,19.059999,17.81595,9903700
27/3/2020,19.4,19.620001,18.93,19.139999,17.89073,12082100
30/3/2020,18.66,18.82,18.299999,18.299999,17.105558,8851200
31/3/2020,18.440001,18.77,18.379999,18.57,17.357935,11059255
1/4/2020,18.440001,18.5,18.07,18.15,16.965349,7061400
2/4/2020,17.93,18.450001,17.82,18.41,17.208378,7756900
3/4/2020,18.43,18.48,17.9,17.92,16.75036,7867200
6/4/2020,18.18,18.459999,17.950001,18.4,17.19903,6169800
7/4/2020,18.67,19.110001,18.610001,19.110001,18.188904,9607600
8/4/2020,18.84,18.959999,18.65,18.83,17.922401,4853600
9/4/2020,19.049999,19.379999,19.049999,19.139999,18.217457,4939100
13/4/2020,19.1,19.4,18.93,19.280001,18.350712,4006500
14/4/2020,19.280001,20,19.219999,19.860001,18.902756,8180900
15/4/2020,20.02,20.059999,19.32,19.5,18.560106,8019700
16/4/2020,19.280001,19.67,19.110001,19.379999,18.44589,6298300
17/4/2020,19.799999,19.940001,19.200001,19.280001,18.350712,9464600
20/4/2020,19.280001,19.35,19.01,19.1,18.179386,8387600
21/4/2020,19,19.08,18.82,18.84,17.931919,6440300
22/4/2020,18.73,18.77,18.450001,18.74,17.836737,8009300
23/4/2020,18.799999,18.940001,18.74,18.74,17.836737,3985100
24/4/2020,18.73,18.85,18.52,18.67,17.770113,3637100
27/4/2020,18.6,19.139999,18.6,19,18.084208,4192200
28/4/2020,19.200001,19.200001,18.870001,19.07,18.150831,4905800
29/4/2020,19,19.200001,18.950001,19.200001,18.274567,5345000
30/4/2020,19.870001,20.15,19.6,19.959999,18.997934,17075300
4/5/2020,19.450001,19.780001,19.32,19.57,18.626732,8607700
5/5/2020,19.65,19.809999,19.65,19.700001,18.750465,3782700
6/5/2020,19.700001,19.85,19.6,19.74,18.788538,5057300
8/5/2020,19.809999,19.870001,19.65,19.700001,18.750465,6063300
11/5/2020,19.92,20,19.83,20,19.036007,6255500
12/5/2020,19.4,19.51,19.27,19.35,19.045849,6941600
13/5/2020,19.35,19.42,19.26,19.280001,18.976952,5214800
14/5/2020,19,19.17,18.91,18.959999,18.661978,5469300
15/5/2020,19.040001,19.18,18.969999,19,18.701349,5777700
18/5/2020,19,19.129999,18.969999,19.08,18.780094,2955116
19/5/2020,19.51,19.82,19.51,19.610001,19.301764,8669700
20/5/2020,19.59,19.709999,19.41,19.5,19.193491,4620600
21/5/2020,19.76,19.76,19.43,19.450001,19.144279,3343400
22/5/2020,19.209999,19.34,19.049999,19.18,18.878521,6265000
26/5/2020,19.200001,19.530001,19.190001,19.440001,19.134436,5209700
27/5/2020,19.450001,19.59,19.26,19.440001,19.134436,4627600
28/5/2020,19.6,19.83,19.5,19.639999,19.331289,7112600
29/5/2020,19.42,19.549999,19.360001,19.469999,19.163961,7941100
1/6/2020,19.59,19.889999,19.540001,19.66,19.350975,5955900
2/6/2020,19.85,20.209999,19.799999,20.209999,19.89233,6553900
3/6/2020,20.51,21.799999,20.5,21.799999,21.457338,13909500
4/6/2020,22.25,22.629999,21.68,21.99,21.644352,12048500
5/6/2020,22,22.280001,21.950001,22.280001,21.929794,6788516
8/6/2020,22.450001,23.09,22.43,23.09,22.727064,10057500
9/6/2020,23.35,23.58,22.6,22.950001,22.589262,16205000
10/6/2020,23.139999,23.35,22.91,23.059999,22.697535,6351300
11/6/2020,22.9,22.92,22.1,22.15,21.801838,9411750
12/6/2020,21.469999,21.950001,21.07,21.93,21.585295,10633200
15/6/2020,21.75,21.780001,21.07,21.299999,20.965199,9703900
16/6/2020,21.75,22.219999,21.620001,21.66,21.31954,7361600
17/6/2020,21.860001,21.860001,21.35,21.57,21.230953,4229400
18/6/2020,21.299999,21.639999,21.129999,21.52,21.181742,5556000
19/6/2020,21.32,21.450001,21.16,21.16,20.827398,8680100
22/6/2020,21.02,21.290001,21.02,21.049999,20.719126,5492700
23/6/2020,21.15,21.209999,20.629999,21.129999,20.797871,5795300
24/6/2020,21.200001,21.35,20.969999,21.1,20.768343,3886300
25/6/2020,20.860001,20.860001,20.5,20.690001,20.364786,7606400
26/6/2020,20.9,20.950001,20.790001,20.82,20.492743,4127200
29/6/2020,20.6,20.67,20.450001,20.52,20.197458,5437000
30/6/2020,20.799999,20.99,20.77,20.799999,20.473057,7045400
1/7/2020,21,21.26,20.9,21.049999,20.719126,3258400
2/7/2020,21.219999,21.32,20.99,21.280001,20.945513,3699300
3/7/2020,21.57,21.65,21.389999,21.57,21.230953,3516800
6/7/2020,21.6,21.98,21.52,21.969999,21.624666,3955700
7/7/2020,22.200001,22.24,21.65,21.67,21.329384,4434100
8/7/2020,21.790001,21.889999,21.6,21.790001,21.447496,3369300
9/7/2020,21.969999,21.969999,21.629999,21.65,21.309696,3627530
