Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Completion Date,Purchaser Address Indicator,Postal Code,Postal District,Postal Sector,Planning Region,Planning Area
SKYLINE @ ORCHARD BOULEVARD,"12,200,000","3,100.03","3,935",04 Dec 2020,23 ANGULLIA PARK #25-01,Resale,Strata,288,"42,361",-,Apartment,1,Freehold,2015,Private,239975,09,23,Central Region,River Valley
EIGHT COURTYARDS,"1,200,000","1,151.75","1,042",04 Dec 2020,2 CANBERRA DRIVE #13-04,Resale,Strata,107,"11,215",-,Condominium,1,99 yrs from 20/09/2010,2014,HDB,768138,27,76,North Region,Yishun
SEASCAPE,"4,510,500","2,163.56","2,085",04 Dec 2020,57 COVE WAY #05-04,Resale,Strata,201,"22,440",-,Condominium,1,99 yrs from 09/06/2007,2011,Private,098308,04,09,Central Region,Southern Islands
HIGH PARK RESIDENCES,"875,000",710.42,"1,232",04 Dec 2020,25 FERNVALE ROAD #19-17,Resale,Strata,66,"13,258",-,Apartment,1,99 yrs from 05/11/2014,2019,HDB,797639,28,79,North East Region,Sengkang
THE CENTRIS,"1,115,000",914.94,"1,219",04 Dec 2020,65 JURONG WEST CENTRAL 3 #10-04,Resale,Strata,85,"13,118",-,Apartment,1,99 yrs from 21/06/2006,2009,HDB,648332,22,64,West Region,Jurong West
PALACIO,"2,820,000","3,918.1",720,04 Dec 2020,63 LORONG M TELOK KURAU,Resale,Strata,364,"7,747",-,Terrace House,1,Freehold,2015,Private,425364,15,42,East Region,Bedok
THE SAIL @ MARINA BAY,"1,388,888",688.9,"2,016",04 Dec 2020,6 MARINA BOULEVARD #29-19,Resale,Strata,64,"21,701",-,Apartment,1,99 yrs from 12/08/2002,2008,HDB,018985,01,01,Central Region,Downtown Core
THE MILTONIA RESIDENCES,"1,030,000","1,173.28",878,04 Dec 2020,540 MILTONIA CLOSE #02-46,Resale,Strata,109,"9,450",-,Condominium,1,99 yrs from 30/11/2010,2014,Private,768114,27,76,North Region,Yishun
M66,"1,500,000","1,539.25",974,04 Dec 2020,64 MOONSTONE LANE #05-06,Resale,Strata,143,"10,490",-,Apartment,1,Freehold,2014,HDB,328489,12,32,Central Region,Kallang
TRILIGHT,"2,350,000","1,162.51","2,021",04 Dec 2020,7 NEWTON ROAD #30-05,Resale,Strata,108,"21,759",-,Condominium,1,Freehold,2012,Private,307945,11,30,Central Region,Novena
KENTISH LODGE,"1,000,000","1,184.04",845,04 Dec 2020,3 OXFORD ROAD #01-09,Resale,Strata,110,"9,091",-,Apartment,1,99 yrs from 01/03/1995,1998,Private,218814,08,21,Central Region,Kallang
THE PALETTE,"1,080,000","1,065.64","1,013",04 Dec 2020,121 PASIR RIS GROVE #11-63,Resale,Strata,99,"10,909",-,Condominium,1,99 yrs from 20/10/2010,2015,HDB,518175,18,51,East Region,Pasir Ris
PARC CENTROS,"1,400,000","1,506.96",929,04 Dec 2020,84 PUNGGOL CENTRAL #01-10,Resale,Strata,140,"10,000",-,Condominium,1,99 yrs from 19/03/2012,2016,HDB,828719,19,82,North East Region,Punggol
THE GREENWICH,"870,000",904.18,962,04 Dec 2020,11 SELETAR ROAD #04-46,Resale,Strata,84,"10,357",-,Condominium,1,99 yrs from 21/12/2009,2014,HDB,807016,28,80,North East Region,Serangoon
AMARANDA GARDENS,"1,800,000","1,162.51","1,548",04 Dec 2020,122 SERANGOON AVENUE 3 #09-04,Resale,Strata,108,"16,667",-,Condominium,1,Freehold,2004,Private,554775,19,55,North East Region,Serangoon
