Age (Years) / Sex,Measure Names,Measure Values,Category
Females,2021,64.2,F
75 & Over,2021,7.9,F
70 to 74,2021,22.7,F
70 & Over,2021,14.5,F
65 to 69,2021,40.6,F
60 to 64,2021,53.6,F
55 to 59,2021,66.6,F
50 to 54,2021,76.2,F
45 to 49,2021,80.6,F
40 to 44,2021,84.7,F
35 to 39,2021,85.4,F
30 to 34,2021,90.1,F
25 to 29,2021,90.5,F
20 to 24,2021,66.1,F
15 to 19,2021,13.7,F
Females,2020,61.2,F
75 & Over,2020,7,F
70 to 74,2020,21.9,F
70 & Over,2020,13.1,F
65 to 69,2020,38.2,F
60 to 64,2020,52.6,F
55 to 59,2020,64.8,F
50 to 54,2020,71.6,F
45 to 49,2020,78.8,F
40 to 44,2020,81.4,F
35 to 39,2020,84.4,F
30 to 34,2020,88.2,F
25 to 29,2020,91.1,F
20 to 24,2020,57.3,F
15 to 19,2020,10.6,F
Females,2019,61.1,F
75 & Over,2019,5.8,F
70 to 74,2019,20.4,F
70 & Over,2019,11.5,F
65 to 69,2019,35.3,F
60 to 64,2019,50.8,F
55 to 59,2019,63.3,F
50 to 54,2019,71.3,F
45 to 49,2019,80.3,F
40 to 44,2019,81.2,F
35 to 39,2019,82.7,F
30 to 34,2019,88.3,F
25 to 29,2019,90.1,F
20 to 24,2019,62.9,F
15 to 19,2019,12.4,F
Females,2018,60.2,F
75 & Over,2018,6.1,F
70 to 74,2018,20.3,F
70 & Over,2018,11.3,F
65 to 69,2018,33.7,F
60 to 64,2018,49.4,F
55 to 59,2018,62.1,F
50 to 54,2018,71.5,F
45 to 49,2018,78.1,F
40 to 44,2018,81,F
35 to 39,2018,81.8,F
30 to 34,2018,84.9,F
25 to 29,2018,89.4,F
20 to 24,2018,62.4,F
15 to 19,2018,11.6,F
Females,2017,59.8,F
75 & Over,2017,5,F
70 to 74,2017,18.1,F
70 & Over,2017,9.6,F
65 to 69,2017,32.9,F
60 to 64,2017,49.9,F
55 to 59,2017,61.8,F
50 to 54,2017,71.2,F
45 to 49,2017,77.7,F
40 to 44,2017,78.9,F
35 to 39,2017,82.9,F
30 to 34,2017,86.9,F
25 to 29,2017,89.6,F
20 to 24,2017,61.6,F
15 to 19,2017,10.2,F
Females,2016,60.4,F
75 & Over,2016,5.1,F
70 to 74,2016,19.3,F
70 & Over,2016,9.8,F
65 to 69,2016,31.4,F
60 to 64,2016,48.8,F
55 to 59,2016,63.1,F
50 to 54,2016,70.3,F
45 to 49,2016,77.2,F
40 to 44,2016,80.2,F
35 to 39,2016,82.3,F
30 to 34,2016,85.3,F
25 to 29,2016,90.6,F
20 to 24,2016,62,F
15 to 19,2016,12.4,F
Females,2015,60.4,F
75 & Over,2015,5.5,F
70 to 74,2015,16.5,F
70 & Over,2015,9.4,F
65 to 69,2015,31.1,F
60 to 64,2015,47.7,F
55 to 59,2015,62.8,F
50 to 54,2015,70.6,F
45 to 49,2015,75.5,F
40 to 44,2015,78.9,F
35 to 39,2015,81.7,F
30 to 34,2015,83.9,F
25 to 29,2015,89.7,F
20 to 24,2015,66.3,F
15 to 19,2015,13.1,F
Females,2014,58.6,F
75 & Over,2014,4.7,F
70 to 74,2014,15.6,F
70 & Over,2014,8.8,F
65 to 69,2014,29.5,F
60 to 64,2014,45.5,F
55 to 59,2014,61.4,F
50 to 54,2014,70.4,F
45 to 49,2014,73.7,F
40 to 44,2014,78.1,F
35 to 39,2014,80.9,F
30 to 34,2014,83.3,F
25 to 29,2014,88.6,F
20 to 24,2014,59.8,F
15 to 19,2014,9.6,F
Females,2013,58.1,F
75 & Over,2013,4.2,F
70 to 74,2013,14.1,F
70 & Over,2013,8,F
65 to 69,2013,27.9,F
60 to 64,2013,44.2,F
55 to 59,2013,59.1,F
50 to 54,2013,66.5,F
45 to 49,2013,73.1,F
40 to 44,2013,75.4,F
35 to 39,2013,79.4,F
30 to 34,2013,83.7,F
25 to 29,2013,88,F
20 to 24,2013,59.9,F
15 to 19,2013,10.2,F
Females,2012,57.7,F
75 & Over,2012,3.4,F
70 to 74,2012,13.4,F
70 & Over,2012,7.4,F
65 to 69,2012,26.3,F
60 to 64,2012,41.7,F
55 to 59,2012,56.2,F
50 to 54,2012,65.6,F
45 to 49,2012,73.4,F
40 to 44,2012,74.8,F
35 to 39,2012,78.9,F
30 to 34,2012,83.3,F
25 to 29,2012,86.8,F
20 to 24,2012,62.6,F
15 to 19,2012,10.9,F
Females,2011,57,F
75 & Over,2011,3.3,F
70 to 74,2011,11.3,F
70 & Over,2011,6.6,F
65 to 69,2011,23.9,F
60 to 64,2011,38.4,F
55 to 59,2011,55.1,F
50 to 54,2011,66.1,F
45 to 49,2011,71.5,F
40 to 44,2011,73.9,F
35 to 39,2011,77.6,F
30 to 34,2011,81,F
25 to 29,2011,86.7,F
20 to 24,2011,62.5,F
15 to 19,2011,9.8,F
Females,2010,56.5,F
75 & Over,2010,2.7,F
70 to 74,2010,11.3,F
70 & Over,2010,6,F
65 to 69,2010,19.1,F
60 to 64,2010,35.4,F
55 to 59,2010,51.7,F
50 to 54,2010,64.9,F
45 to 49,2010,68.9,F
40 to 44,2010,72.7,F
35 to 39,2010,75.2,F
30 to 34,2010,81.3,F
25 to 29,2010,85.7,F
20 to 24,2010,65.3,F
15 to 19,2010,13.1,F
