Age (Years) / Sex,Measure Names,Measure Values
Total,2021,70.5
75 & Over,2021,11.8
70 to 74,2021,31.8
70 & Over,2021,21.3
65 to 69,2021,50.9
60 to 64,2021,65.9
55 to 59,2021,77.7
50 to 54,2021,84.8
45 to 49,2021,88.3
40 to 44,2021,90.6
35 to 39,2021,91.2
30 to 34,2021,93.4
25 to 29,2021,90.4
20 to 24,2021,62.4
15 to 19,2021,15.7
Total,2020,68.1
75 & Over,2020,10.2
70 to 74,2020,31
70 & Over,2020,19.4
65 to 69,2020,48.7
60 to 64,2020,65
55 to 59,2020,75.9
50 to 54,2020,82.2
45 to 49,2020,87.4
40 to 44,2020,89
35 to 39,2020,90.4
30 to 34,2020,92.3
25 to 29,2020,90.4
20 to 24,2020,56
15 to 19,2020,13.8
Total,2019,68
75 & Over,2019,9.5
70 to 74,2019,28.8
70 & Over,2019,17.6
65 to 69,2019,46.1
60 to 64,2019,63.9
55 to 59,2019,75
50 to 54,2019,82.3
45 to 49,2019,87.9
40 to 44,2019,88.7
35 to 39,2019,89.6
30 to 34,2019,92.3
25 to 29,2019,90.1
20 to 24,2019,61
15 to 19,2019,15.1
Total,2018,67.7
75 & Over,2018,9.4
70 to 74,2018,28.3
70 & Over,2018,17
65 to 69,2018,45.3
60 to 64,2018,62.2
55 to 59,2018,75.1
50 to 54,2018,82
45 to 49,2018,86.5
40 to 44,2018,88.8
35 to 39,2018,89
30 to 34,2018,91
25 to 29,2018,90
20 to 24,2018,61.3
15 to 19,2018,15.2
Total,2017,67.7
75 & Over,2017,9.1
70 to 74,2017,28
70 & Over,2017,16.2
65 to 69,2017,43.4
60 to 64,2017,63.6
55 to 59,2017,74.9
50 to 54,2017,82.8
45 to 49,2017,86.8
40 to 44,2017,87.7
35 to 39,2017,89.8
30 to 34,2017,91.8
25 to 29,2017,90.2
20 to 24,2017,62.2
15 to 19,2017,14.2
Total,2016,68
75 & Over,2016,8.4
70 to 74,2016,26.8
70 & Over,2016,15
65 to 69,2016,43.2
60 to 64,2016,62.8
55 to 59,2016,75.8
50 to 54,2016,81.4
45 to 49,2016,86.3
40 to 44,2016,88.2
35 to 39,2016,89.7
30 to 34,2016,90.8
25 to 29,2016,90.3
20 to 24,2016,62.3
15 to 19,2016,15.3
Total,2015,68.3
75 & Over,2015,8.8
70 to 74,2015,24.9
70 & Over,2015,14.9
65 to 69,2015,42.2
60 to 64,2015,62.4
55 to 59,2015,75.5
50 to 54,2015,82.4
45 to 49,2015,85.9
40 to 44,2015,87.6
35 to 39,2015,89.1
30 to 34,2015,90.2
25 to 29,2015,90.3
20 to 24,2015,65.3
15 to 19,2015,15.8
Total,2014,67
75 & Over,2014,8.4
70 to 74,2014,25.7
70 & Over,2014,15.3
65 to 69,2014,41.2
60 to 64,2014,61.2
55 to 59,2014,74.3
50 to 54,2014,81.8
45 to 49,2014,84.7
40 to 44,2014,87.1
35 to 39,2014,88.8
30 to 34,2014,89.9
25 to 29,2014,89
20 to 24,2014,61.8
15 to 19,2014,12.3
Total,2013,66.7
75 & Over,2013,7.6
70 to 74,2013,24.2
70 & Over,2013,14.4
65 to 69,2013,40.2
60 to 64,2013,59.7
55 to 59,2013,73.2
50 to 54,2013,80
45 to 49,2013,84.5
40 to 44,2013,85.7
35 to 39,2013,88
30 to 34,2013,90.1
25 to 29,2013,88.5
20 to 24,2013,61.7
15 to 19,2013,11.8
Total,2012,66.6
75 & Over,2012,6.7
70 to 74,2012,21.9
70 & Over,2012,13.1
65 to 69,2012,38.6
60 to 64,2012,58.1
55 to 59,2012,72.4
50 to 54,2012,79.5
45 to 49,2012,84.4
40 to 44,2012,85.4
35 to 39,2012,88
30 to 34,2012,89.8
25 to 29,2012,88.3
20 to 24,2012,63.6
15 to 19,2012,12.4
Total,2011,66.1
75 & Over,2011,6.4
70 to 74,2011,20.4
70 & Over,2011,12.5
65 to 69,2011,36.2
60 to 64,2011,54.7
55 to 59,2011,70.2
50 to 54,2011,79.7
45 to 49,2011,83.7
40 to 44,2011,84.9
35 to 39,2011,87.3
30 to 34,2011,88.6
25 to 29,2011,89.2
20 to 24,2011,62.8
15 to 19,2011,12.3
Total,2010,66.2
75 & Over,2010,5.4
70 to 74,2010,18.7
70 & Over,2010,11
65 to 69,2010,30.9
60 to 64,2010,51
55 to 59,2010,68.3
50 to 54,2010,78.6
45 to 49,2010,82.4
40 to 44,2010,84.4
35 to 39,2010,86.2
30 to 34,2010,89
25 to 29,2010,89.4
20 to 24,2010,65.8
15 to 19,2010,15.4
