Date,Open,High,Low,Close,Adj Close,Volume
2/1/2020,10.97,11.06,10.91,11.03,10.490239,3831900
3/1/2020,11.08,11.14,10.94,11.02,10.480728,4381400
6/1/2020,10.95,10.96,10.88,10.92,10.385622,4399500
7/1/2020,10.98,11.06,10.96,11,10.461707,4941200
8/1/2020,10.84,11.04,10.78,11.01,10.471218,7779500
9/1/2020,11.11,11.11,10.99,11.03,10.490239,4537300
10/1/2020,11.07,11.09,11.04,11.08,10.537792,3046600
13/1/2020,11.04,11.09,11.02,11.06,10.518771,2350100
14/1/2020,11.08,11.12,11.06,11.1,10.556813,3208900
15/1/2020,11.07,11.11,10.97,10.98,10.442686,3412800
16/1/2020,11,11.14,11,11.11,10.566324,12501700
17/1/2020,11.15,11.23,11.13,11.2,10.65192,7209600
20/1/2020,11.17,11.22,11.14,11.17,10.623388,2236700
21/1/2020,11.16,11.16,11.01,11.12,10.575835,2786800
22/1/2020,11.09,11.22,11.07,11.19,10.642409,4261800
23/1/2020,11.18,11.19,11.05,11.11,10.566324,4391400
24/1/2020,11.09,11.11,11.05,11.1,10.556813,2660500
28/1/2020,10.8,10.93,10.77,10.9,10.366601,8200065
29/1/2020,10.93,10.97,10.85,10.91,10.376111,2891900
30/1/2020,10.92,10.95,10.85,10.92,10.385622,5403900
31/1/2020,10.93,10.95,10.75,10.83,10.300026,8944600
3/2/2020,10.77,10.8,10.7,10.71,10.185899,7586500
4/2/2020,10.78,10.92,10.77,10.85,10.319048,6116000
5/2/2020,10.82,11.02,10.81,11,10.461707,4254800
6/2/2020,11.08,11.12,11.02,11.07,10.528281,4036265
7/2/2020,10.97,11.05,10.8,10.86,10.328558,6584500
10/2/2020,10.74,10.8,10.66,10.72,10.195409,6796400
11/2/2020,10.79,10.88,10.76,10.77,10.242963,4043100
12/2/2020,10.86,11.03,10.81,11.02,10.480728,8259900
13/2/2020,11.05,11.06,10.97,11.05,10.509261,4369400
14/2/2020,11.01,11.12,10.97,11.06,10.518771,3647700
17/2/2020,11.05,11.08,11,11.01,10.471218,1613900
18/2/2020,10.94,10.99,10.92,10.97,10.433176,2873900
19/2/2020,10.99,11.1,10.93,11.09,10.547303,5082400
20/2/2020,11.12,11.14,10.95,11.04,10.49975,4221000
21/2/2020,11,11.09,11,11.02,10.480728,4183800
24/2/2020,10.95,11,10.88,10.92,10.385622,5485700
25/2/2020,10.95,11.04,10.92,10.97,10.433176,3503600
26/2/2020,10.88,10.96,10.86,10.86,10.328558,4598300
27/2/2020,10.86,10.92,10.77,10.9,10.366601,5479800
28/2/2020,10.65,10.74,10.6,10.6,10.081282,21432600
2/3/2020,10.56,10.66,10.52,10.58,10.062261,6626400
3/3/2020,10.65,10.73,10.6,10.65,10.128835,7001300
4/3/2020,10.62,10.62,10.5,10.55,10.033729,8371500
5/3/2020,10.57,10.57,10.4,10.42,9.910089,10815700
6/3/2020,10.38,10.4,10.18,10.21,9.710367,9671400
9/3/2020,9.91,9.92,9.5,9.52,9.054132,18350400
10/3/2020,9.45,9.84,9.35,9.72,9.244345,14761300
11/3/2020,9.78,9.93,9.5,9.5,9.03511,15495100
12/3/2020,9.41,9.41,9.1,9.11,8.664195,16195100
13/3/2020,8.83,9.28,8.71,9.07,8.626153,20987200
16/3/2020,8.88,9.02,8.7,8.7,8.27426,16564000
17/3/2020,8.63,8.78,8.52,8.61,8.188663,14601500
18/3/2020,8.61,8.61,8.61,8.61,8.188663,0
19/3/2020,8.46,8.58,8.08,8.08,7.684599,16173000
20/3/2020,8.1,8.39,8.1,8.36,7.950898,12856400
