Date,Open,High,Low,Close,Adj Close,Volume
2/1/2020,26.48,26.700001,26.35,26.68,25.665627,1584900
3/1/2020,26.75,26.879999,26.440001,26.629999,25.617527,1638900
6/1/2020,26.459999,26.469999,26.299999,26.370001,25.367414,2343000
7/1/2020,26.41,26.77,26.41,26.700001,25.684868,2442100
8/1/2020,26.6,26.780001,26.200001,26.719999,25.704103,3022700
9/1/2020,26.9,26.9,26.620001,26.790001,25.771444,2192200
10/1/2020,26.84,26.98,26.77,26.77,25.752207,2060200
13/1/2020,26.870001,26.950001,26.75,26.82,25.800304,1407700
14/1/2020,26.969999,27,26.91,26.940001,25.915741,1630600
15/1/2020,26.799999,27,26.700001,26.77,25.752207,1615200
16/1/2020,26.790001,26.99,26.700001,26.85,25.829163,4203431
17/1/2020,26.83,26.950001,26.73,26.73,25.713724,1719100
20/1/2020,26.73,26.76,26.549999,26.65,25.636766,1741500
21/1/2020,26.559999,26.59,26.290001,26.48,25.47323,1844600
22/1/2020,26.35,26.610001,26.309999,26.549999,25.540567,1463776
23/1/2020,26.309999,26.549999,26.309999,26.370001,25.367414,2501328
24/1/2020,26.25,26.4,26.25,26.35,25.348175,1444400
28/1/2020,25.59,25.959999,25.559999,25.959999,24.973001,3318042
29/1/2020,25.77,25.969999,25.77,25.82,24.838324,1577100
30/1/2020,25.76,25.879999,25.549999,25.700001,24.722885,3229400
31/1/2020,25.83,25.85,25.48,25.66,24.684406,3967000
3/2/2020,25.5,25.549999,25.24,25.299999,24.338091,2420200
4/2/2020,25.440001,25.809999,25.360001,25.790001,24.809465,3603700
5/2/2020,25.9,26.1,25.77,26.049999,25.059578,2844500
6/2/2020,26.030001,26.360001,26.030001,26.33,25.328932,2520600
7/2/2020,26.08,26.33,25.870001,25.950001,24.963383,2814400
10/2/2020,25.52,25.77,25.43,25.57,24.597826,3351200
11/2/2020,25.6,26,25.59,25.780001,24.799845,2297700
12/2/2020,25.879999,26.200001,25.780001,26.18,25.184635,3439800
13/2/2020,26.25,26.379999,26.1,26.200001,25.203876,2464900
14/2/2020,26.120001,26.27,26.059999,26.25,25.251974,2157600
17/2/2020,26.1,26.219999,26,26.049999,25.059578,1872900
18/2/2020,25.959999,26.01,25.809999,25.809999,24.828703,2283900
