Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Completion Date,Purchaser Address Indicator,Postal Code,Postal District,Postal Sector,Planning Region,Planning Area
PIERMONT GRAND,"1,574,640","1,560.78","1,009",04 Aug 2020,28 SUMANG WALK #17-13,New Sale,Strata,145,"10,860",-,Executive Condominium,1,99 yrs from 04/06/2018,Uncompleted,N.A,828619,19,82,North East Region,Punggol
JADESCAPE,"2,844,800","1,646.89","1,727",04 Aug 2020,10 SHUNFU ROAD #10-37,New Sale,Strata,153,"18,593",-,Condominium,1,99 yrs from 19/06/2018,Uncompleted,N.A,575746,20,57,Central Region,Bishan
THE PANORAMA,"628,000",430.56,"1,459",04 Aug 2020,16 ANG MO KIO AVENUE 2 #01-24,Resale,Strata,40,"15,700",-,Condominium,1,99 yrs from 08/04/2013,2017,HDB,567699,20,56,North East Region,Ang Mo Kio
THE FLORENCE RESIDENCES,"782,000",484.38,"1,614",04 Aug 2020,85 HOUGANG AVENUE 2 #12-27,New Sale,Strata,45,"17,378",-,Apartment,1,99 yrs from 24/12/2018,Uncompleted,N.A,538861,19,53,North East Region,Hougang
ESTE VILLA,"2,438,000","3,422.95",712,04 Aug 2020,37K NIM ROAD,Resale,Strata,318,"7,667",-,Terrace House,1,Freehold,2013,Private,804951,28,80,North East Region,Serangoon
THE CANOPY,"700,000",871.88,803,04 Aug 2020,71 YISHUN AVENUE 11 #04-02,Resale,Strata,81,"8,642",-,Executive Condominium,1,99 yrs from 14/06/2010,2014,HDB,768858,27,76,North Region,Yishun
FOURTH AVENUE RESIDENCES,"1,508,000",645.84,"2,335",04 Aug 2020,6 FOURTH AVENUE #09-14,New Sale,Strata,60,"25,133",-,Apartment,1,99 yrs from 07/03/2018,Uncompleted,N.A,268673,10,26,Central Region,Bukit Timah
FOURTH AVENUE RESIDENCES,"1,508,000",645.84,"2,335",04 Aug 2020,6 FOURTH AVENUE #10-14,New Sale,Strata,60,"25,133",-,Apartment,1,99 yrs from 07/03/2018,Uncompleted,N.A,268673,10,26,Central Region,Bukit Timah
HIGHLINE RESIDENCES,"1,760,000",914.94,"1,924",04 Aug 2020,9 KIM TIAN ROAD #08-13,Resale,Strata,85,"20,706",-,Condominium,1,99 yrs from 22/07/2013,2018,HDB,168593,03,16,Central Region,Bukit Merah
THE WOODLEIGH RESIDENCES,"1,327,000",699.66,"1,897",04 Aug 2020,19 BIDADARI PARK DRIVE #10-17,New Sale,Strata,65,"20,415",-,Apartment,1,99 yrs from 18/09/2017,Uncompleted,N.A,367794,13,36,Central Region,Toa Payoh
RIVERFRONT RESIDENCES,"759,000",516.67,"1,469",04 Aug 2020,47 HOUGANG AVENUE 7 #14-37,New Sale,Strata,48,"15,813",-,Apartment,1,99 yrs from 31/05/2018,Uncompleted,HDB,533816,19,53,North East Region,Hougang
AFFINITY AT SERANGOON,"1,186,000",731.95,"1,620",04 Aug 2020,18 SERANGOON NORTH AVENUE 1 #14-04,New Sale,Strata,68,"17,441",-,Apartment,1,99 yrs from 18/05/2018,Uncompleted,HDB,554336,19,55,North East Region,Serangoon
AFFINITY AT SERANGOON,"2,247,300","1,410.08","1,594",04 Aug 2020,18 SERANGOON NORTH AVENUE 1 #13-05,New Sale,Strata,131,"17,155",-,Apartment,1,99 yrs from 18/05/2018,Uncompleted,N.A,554336,19,55,North East Region,Serangoon
N.A.,"11,300,000","9,768.33","1,157",04 Aug 2020,48 JALAN HAJI ALIAS,Resale,Land,907.5,"12,452",-,Detached House,1,Freehold,1989,HDB,268542,10,26,Central Region,Bukit Timah
THE GARDEN RESIDENCES,"1,853,500","1,194.8","1,551",04 Aug 2020,5 SERANGOON NORTH VIEW #07-26,New Sale,Strata,111,"16,698",-,Apartment,1,99 yrs from 30/10/2017,Uncompleted,N.A,554345,19,55,North East Region,Serangoon
THE GARDEN RESIDENCES,"1,026,300",613.55,"1,673",04 Aug 2020,7 SERANGOON NORTH VIEW #06-32,New Sale,Strata,57,"18,005",-,Apartment,1,99 yrs from 30/10/2017,Uncompleted,N.A,554346,19,55,North East Region,Serangoon
N.A.,"4,480,000","5,419.67",827,04 Aug 2020,277 WAK HASSAN DRIVE,Resale,Land,503.5,"8,898",-,Detached House,1,99 yrs from 25/01/2011,2013,Private,757121,27,75,North Region,Sembawang
THE FLORENCE RESIDENCES,"1,442,000",979.52,"1,472",04 Aug 2020,87 HOUGANG AVENUE 2 #06-33,New Sale,Strata,91,"15,846",-,Apartment,1,99 yrs from 24/12/2018,Uncompleted,HDB,538862,19,53,North East Region,Hougang
ARC AT TAMPINES,"770,000",796.54,967,04 Aug 2020,15 TAMPINES AVENUE 8 #08-24,Resale,Strata,74,"10,405",-,Executive Condominium,1,99 yrs from 22/02/2011,2014,HDB,529601,18,52,East Region,Tampines
EMERALD EAST,"2,750,000","2,055.92","1,338",04 Aug 2020,8D TANJONG RHU ROAD #13-01,Resale,Strata,191,"14,398",-,Apartment,1,Freehold,1999,Private,436892,15,43,Central Region,Kallang
SIMS URBAN OASIS,"755,000",462.85,"1,631",04 Aug 2020,2 SIMS DRIVE #09-10,Resale,Strata,43,"17,558",-,Condominium,1,99 yrs from 29/07/2014,2017,HDB,387386,14,38,Central Region,Geylang
N.A.,"28,000,000","14,998.56","1,867",04 Aug 2020,16D CHATSWORTH ROAD,Resale,Land,"1,393.4","20,095",-,Detached House,1,Freehold,1988,Private,249778,10,24,Central Region,Tanglin
N.A.,"5,528,888","3,806.15","1,453",04 Aug 2020,349 YIO CHU KANG ROAD,Resale,Land,353.6,"15,636",-,Semi-Detached House,1,999 yrs from 01/01/1879,-,Private,805922,28,80,North East Region,Serangoon
MONT BOTANIK RESIDENCE,"1,286,800",775.01,"1,660",04 Aug 2020,2K JALAN REMAJA #08-01,New Sale,Strata,72,"17,872",-,Condominium,1,Freehold,Uncompleted,N.A,668728,23,66,West Region,Bukit Batok
STIRLING RESIDENCES,"1,263,000",624.31,"2,023",04 Aug 2020,21 STIRLING ROAD #39-04,New Sale,Strata,58,"21,776",-,Apartment,1,99 yrs from 18/08/2017,Uncompleted,N.A,148960,03,14,Central Region,Queenstown
TWIN WATERFALLS,"1,350,000","1,506.96",896,04 Aug 2020,116 PUNGGOL WALK #01-36,Resale,Strata,140,"9,643",-,Executive Condominium,1,99 yrs from 05/10/2011,2015,HDB,828768,19,82,North East Region,Punggol
RIVER ISLES,"1,408,000","1,474.67",955,04 Aug 2020,62 EDGEDALE PLAINS #04-23,Resale,Strata,137,"10,277",-,Condominium,1,99 yrs from 06/02/2012,2015,HDB,828730,19,82,North East Region,Punggol
THE FLORENCE RESIDENCES,"1,372,000",936.47,"1,465",04 Aug 2020,95 HOUGANG AVENUE 2 #06-70,New Sale,Strata,87,"15,770",-,Apartment,1,99 yrs from 24/12/2018,Uncompleted,HDB,533754,19,53,North East Region,Hougang
THE FLORENCE RESIDENCES,"1,178,000",753.48,"1,563",04 Aug 2020,97 HOUGANG AVENUE 2 #15-74,New Sale,Strata,70,"16,829",-,Apartment,1,99 yrs from 24/12/2018,Uncompleted,Private,533753,19,53,North East Region,Hougang
FONTAINE PARRY,"988,888",850.36,"1,163",04 Aug 2020,73 POH HUAT ROAD #04-10,Resale,Strata,79,"12,518",-,Condominium,1,999 yrs from 16/08/1877,2010,Private,546779,19,54,North East Region,Hougang
THE ESTUARY,"605,000",592.02,"1,022",04 Aug 2020,87 YISHUN AVENUE 1 #13-04,Resale,Strata,55,"11,000",-,Condominium,1,99 yrs from 25/06/2008,2013,Private,769133,27,76,North Region,Yishun
MODENA,"920,000",958,960,04 Aug 2020,35 SIMEI STREET 4 #02-02,Resale,Strata,89,"10,337",-,Condominium,1,99 yrs from 06/12/1997,2001,Private,529869,18,52,East Region,Tampines
THE PARC CONDOMINIUM,"1,810,000","1,291.68","1,401",04 Aug 2020,7 WEST COAST WALK #13-14,Resale,Strata,120,"15,083",-,Condominium,1,Freehold,2010,Private,127159,05,12,West Region,Clementi
BAYSHORE PARK,"865,000",936.47,924,04 Aug 2020,60 BAYSHORE ROAD #09-04,Resale,Strata,87,"9,943",-,Condominium,1,99 yrs from 17/03/1982,1986,Private,469982,16,46,East Region,Bedok
THE RAINFOREST,"825,000",828.83,995,04 Aug 2020,337 CHOA CHU KANG AVENUE 3 #13-14,Resale,Strata,77,"10,714",-,Executive Condominium,1,99 yrs from 28/06/2011,2015,HDB,689872,23,68,West Region,Choa Chu Kang
LEONIE GARDENS,"5,000,000","4,305.6","1,161",04 Aug 2020,25 LEONIE HILL #22-01,Resale,Strata,400,"12,500",-,Condominium,1,99 yrs from 15/09/1990,1993,Private,239225,09,23,Central Region,River Valley
PRINCIPAL GARDEN,"1,500,000",785.77,"1,909",04 Aug 2020,99 PRINCE CHARLES CRESCENT #15-28,Resale,Strata,73,"20,548",-,Condominium,1,99 yrs from 21/07/2014,2018,Private,159029,03,15,Central Region,Bukit Merah
THE SANTORINI,"1,250,000","1,151.75","1,085",04 Aug 2020,23 TAMPINES STREET 86 #14-14,Resale,Strata,107,"11,682",-,Condominium,1,99 yrs from 16/10/2013,2017,HDB,528568,18,52,East Region,Tampines
THE QUARTZ,"1,145,000","1,130.22","1,013",04 Aug 2020,61 COMPASSVALE BOW #08-21,Resale,Strata,105,"10,905",-,Condominium,1,99 yrs from 18/04/2005,2009,Private,544989,19,54,North East Region,Sengkang
THE MILTONIA RESIDENCES,"1,160,000","1,431.61",810,04 Aug 2020,538 MILTONIA CLOSE #01-42,Resale,Strata,133,"8,722",-,Condominium,1,99 yrs from 30/11/2010,2014,Private,768113,27,76,North Region,Yishun
CHUAN PARK,"1,280,000","1,496.2",856,04 Aug 2020,242 LORONG CHUAN #03-05,Resale,Strata,139,"9,209",-,Condominium,1,99 yrs from 06/06/1980,1984,Private,556744,19,55,North East Region,Serangoon
NIM GARDENS,"1,535,000","1,829.88",839,04 Aug 2020,73 NIM ROAD #02-02,Resale,Strata,170,"9,029",-,Condominium,1,Freehold,1986,Private,807584,28,80,North East Region,Serangoon
WATERFRONT ISLE,"730,000",592.02,"1,233",04 Aug 2020,738 BEDOK RESERVOIR ROAD #12-38,Resale,Strata,55,"13,273",-,Condominium,1,99 yrs from 26/11/2009,2015,HDB,479265,16,47,East Region,Bedok
