"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Sea (Garena)","SE","68462338048","122.75","Singapore"
"2","DBS","DBSDF","67523653632","26.24","Singapore"
"3","OCBC Bank","O39.SI","39429124449","8.78","Singapore"
"4","UOB","U11.SI","37820919131","22.62","Singapore"
"5","Singtel","SNGNF","31409469440","1.9","Singapore"
"6","Wilmar","WLMIF","21782740992","3.46","Singapore"
"7","Grab Holdings","GRAB","20575995904","5.5","Singapore"
"8","Singapore Airlines","SINGF","11131258880","3.65","Singapore"
"9","CapitaLand Mall Trust","C38U.SI","10311269779","1.56","Singapore"
"10","ST Engineering","SJX.F","8708671575","2.77","Singapore"
"11","Ascendas Reit","A17U.SI","8691848601","2.07","Singapore"
"12","Keppel","BN4.SI","8046340718","4.42","Singapore"
"13","Flex","FLEX","7703827968","16.6","Singapore"
"14","Singapore Exchange","SPXCF","7370531328","6.85","Singapore"
"15","Great Eastern","G07.SI","7227579903","15.27","Singapore"
"16","Genting Singapore","G13.SI","6918307028","0.57","Singapore"
"17","Jardine Singapore","C07.SI","6362588875","16.1","Singapore"
"18","BOC Aviation","2588.HK","6287972531","9.06","Singapore"
"19","Mapletree Logistics Trust","M44U.SI","6153783210","1.29","Singapore"
"20","Mapletree Industrial Trust","ME8U.SI","5017748035","1.89","Singapore"
"21","City Developments","C09.SI","4781545975","5.27","Singapore"
"22","Olam","O32.SI","4702382614","1.27","Singapore"
"23","Mapletree Commercial Trust","N2IU.SI","4448304235","1.34","Singapore"
"24","UOL Group","U14.SI","4420140780","5.24","Singapore"
"25","Frasers Logistics &amp; Industrial Trust","BUOU.SI","3821247017","1.04","Singapore"
"26","Suntec REIT","T82U.SI","3425684636","1.21","Singapore"
"27","SATS","S58.SI","3352184861","2.99","Singapore"
"28","Sembcorp","U96.SI","3343335296","1.88","Singapore"
"29","Kulicke and Soffa Industries","KLIC","3277624064","52.61","Singapore"
"30","Keppel REIT","K71U.SI","3130191739","0.84","Singapore"
"31","Kenon Holdings","KEN","2907855104","53.97","Singapore"
"32","Mapletree North Asia Commercial Trust","RW0U.SI","2817523705","0.8","Singapore"
"33","NetLink Trust","CJLU.SI","2795231123","0.72","Singapore"
"34","United Industrial Corporation","U06.SI","2669719424","1.86","Singapore"
"35","ComfortDelGro","C52.SI","2275885007","1.05","Singapore"
"36","TDCX","TDCX","2025740800","14.18","Singapore"
"37","HPH Trust","HCTPF","1917313152","0.22","Singapore"
"38","Yanlord","Z25.SI","1656840064","0.86","Singapore"
"39","Karooooo","KARO","984244928","31.8","Singapore"
"40","Triterras","TRIT","136441280","1.64","Singapore"
"41","Society Pass","SOPA","61990192","2.67","Singapore"
